57069,Australia,India,Thornycroft 26m,patrol boat,Ships,2004,Yes,2,Yes,2011,No,New,8.3,8.3,16.6,Yes;
50141,Australia,United Kingdom,Bushmaster -,armoured personnel carrier,Armoured vehicles,2008,No,24,Yes,2008,Yes,New,0.32,0.32,7.68,No;
62026,Australia,Trinidad and Tobago,Cape AUS,patrol boat,Ships,2019,No,2,No,2021,No,New,16,16,32,No;
52954,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2009,No,14,No,2009,No,New,0.32,0.32,4.48,No;
58239,Australia,Papua New Guinea,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2018,No,New,7,7,7,No;
58239,Australia,Papua New Guinea,Guardian PC AUS,patrol boat,Ships,2014,No,2,No,2021,No,New,7,7,14,No;
58239,Australia,Papua New Guinea,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2023,No,New,7,7,7,No;
54322,Australia,United States,KC-707,tanker/transport aircraft,Aircraft,2011,No,3,No,2011,No,Second hand,80,32,96,No;
58242,Australia,Fiji,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2020,No,New,7,7,7,No;
58242,Australia,Fiji,Guardian PC AUS,patrol boat,Ships,2014,No,1,,2024,,New,7,7,7,No;
57068,Australia,India,Thornycroft 26m,patrol boat,Ships,2001,Yes,2,No,2002,No,New,8.3,8.3,16.6,Yes;
25537,Australia,Brunei,Teraban,landing craft,Ships,1995,No,2,No,1996,No,New,4.9,4.9,9.8,No;
51054,Australia,Singapore,R-600,iinfantry fighting vehicle turret,Other,2009,No,50,Yes,2010,No,New,0.6,0.6,30,No;
51054,Australia,Singapore,R-600,iinfantry fighting vehicle turret,Other,2009,No,50,Yes,2011,No,New,0.6,0.6,30,No;
54703,Australia,Singapore,R-600,iinfantry fighting vehicle turret,Other,2012,No,25,Yes,2012,No,New,0.6,0.6,15,No;
54703,Australia,Singapore,R-600,iinfantry fighting vehicle turret,Other,2012,No,10,Yes,2013,Yes,New,0.6,0.6,6,No;
36086,Australia,Canada,Orca,patrol boat,Ships,2004,No,1,No,2006,No,New,8.5,8.5,8.5,Yes;
36086,Australia,Canada,Orca,patrol boat,Ships,2004,No,4,No,2007,No,New,8.5,8.5,34,Yes;
36086,Australia,Canada,Orca,patrol boat,Ships,2004,No,3,No,2008,No,New,8.5,8.5,25.5,Yes;
20320,Australia,United States,CH-47C Chinook,transport helicopter,Aircraft,1991,No,4,Yes,1995,Yes,Second hand,15,6,24,No;
24556,Australia,Indonesia,Nomad,light transport aircraft,Aircraft,1996,No,16,Yes,1997,No,Second hand,1.5,0.6,9.6,No;
24557,Australia,Indonesia,Nomad,light transport aircraft,Aircraft,1996,No,3,Yes,1997,No,New,1.5,1.5,4.5,No;
24876,Australia,Kuwait,S-600 APC,armoured personnel carrier,Armoured vehicles,1997,No,2,No,1997,No,New,0.18,0.18,0.36,No;
24876,Australia,Kuwait,S-600 APC,armoured personnel carrier,Armoured vehicles,1997,No,20,No,1998,No,New,0.18,0.18,3.6,No;
33201,Australia,Yemen,P-1022,patrol boat,Ships,2003,No,10,No,2005,No,New,4.9,4.9,49,No;
33817,Australia,Indonesia,Nomad-L,maritime patrol aircraft,Aircraft,2001,No,4,No,2003,No,Second hand,5,2,8,No;
35031,Australia,Sweden,Saab-340,transport aircraft,Aircraft,2003,No,2,No,2003,No,Second hand,7,2.8,5.6,No;
35087,Australia,Iraq,SB-7L,light aircraft,Aircraft,2004,No,2,No,2004,No,New,0.11,0.11,0.22,No;
35180,Australia,Lesotho,GA-8 Airvan,light transport aircraft,Aircraft,2003,Yes,1,No,2004,No,New,0.24,0.24,0.24,No;
35182,Australia,United States,GA-8 Airvan,light transport aircraft,Aircraft,2003,No,7,Yes,2004,No,New,0.24,0.24,1.68,No;
35676,Australia,Ghana,SB-7L,light aircraft,Aircraft,2004,No,2,Yes,2006,Yes,New,0.11,0.11,0.22,No;
65485,Australia,Mongolia,EC-145,light helicopter,Aircraft,2022,Yes,2,No,2022,No,Second hand,3.25,1.3,2.6,No;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,1,No,2013,No,New,30,30,30,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,2,No,2014,No,New,30,30,60,Yes;
51511,Australia,United States,EPF,transport ship,Ships,2009,No,1,No,2015,No,New,30,30,30,Yes;
